Name,Image_URL,Links
Alex,https://stardewvalleywiki.com/mediawiki/images/0/04/Alex.png,https://stardewvalleywiki.com/Alex
Elliott,https://stardewvalleywiki.com/mediawiki/images/b/bd/Elliott.png,https://stardewvalleywiki.com/Elliott
Harvey,https://stardewvalleywiki.com/mediawiki/images/9/95/Harvey.png,https://stardewvalleywiki.com/Harvey
Sam,https://stardewvalleywiki.com/mediawiki/images/9/94/Sam.png,https://stardewvalleywiki.com/Sam
Sebastian,https://stardewvalleywiki.com/mediawiki/images/a/a8/Sebastian.png,https://stardewvalleywiki.com/Sebastian
Shane,https://stardewvalleywiki.com/mediawiki/images/8/8b/Shane.png,https://stardewvalleywiki.com/Shane
Abigail,https://stardewvalleywiki.com/mediawiki/images/8/88/Abigail.png,https://stardewvalleywiki.com/Abigail
Emily,https://stardewvalleywiki.com/mediawiki/images/2/28/Emily.png,https://stardewvalleywiki.com/Emily
Haley,https://stardewvalleywiki.com/mediawiki/images/1/1b/Haley.png,https://stardewvalleywiki.com/Haley
Leah,https://stardewvalleywiki.com/mediawiki/images/e/e6/Leah.png,https://stardewvalleywiki.com/Leah
Maru,https://stardewvalleywiki.com/mediawiki/images/f/f8/Maru.png,https://stardewvalleywiki.com/Maru
Penny,https://stardewvalleywiki.com/mediawiki/images/a/ab/Penny.png,https://stardewvalleywiki.com/Penny
Caroline,https://stardewvalleywiki.com/mediawiki/images/8/87/Caroline.png,https://stardewvalleywiki.com/Caroline
Clint,https://stardewvalleywiki.com/mediawiki/images/3/31/Clint.png,https://stardewvalleywiki.com/Clint
Demetrius,https://stardewvalleywiki.com/mediawiki/images/f/f9/Demetrius.png,https://stardewvalleywiki.com/Demetrius
Dwarf,https://stardewvalleywiki.com/mediawiki/images/e/ed/Dwarf.png,https://stardewvalleywiki.com/Dwarf
Evelyn,https://stardewvalleywiki.com/mediawiki/images/8/8e/Evelyn.png,https://stardewvalleywiki.com/Evelyn
George,https://stardewvalleywiki.com/mediawiki/images/7/78/George.png,https://stardewvalleywiki.com/George
Gus,https://stardewvalleywiki.com/mediawiki/images/5/52/Gus.png,https://stardewvalleywiki.com/Gus
Jas,https://stardewvalleywiki.com/mediawiki/images/5/55/Jas.png,https://stardewvalleywiki.com/Jas
Jodi,https://stardewvalleywiki.com/mediawiki/images/4/41/Jodi.png,https://stardewvalleywiki.com/Jodi
Kent,https://stardewvalleywiki.com/mediawiki/images/9/99/Kent.png,https://stardewvalleywiki.com/Kent
Krobus,https://stardewvalleywiki.com/mediawiki/images/7/71/Krobus.png,https://stardewvalleywiki.com/Krobus
Leo,https://stardewvalleywiki.com/mediawiki/images/1/1d/Leo.png,https://stardewvalleywiki.com/Leo
Lewis,https://stardewvalleywiki.com/mediawiki/images/2/2b/Lewis.png,https://stardewvalleywiki.com/Lewis
Linus,https://stardewvalleywiki.com/mediawiki/images/3/31/Linus.png,https://stardewvalleywiki.com/Linus
Marnie,https://stardewvalleywiki.com/mediawiki/images/5/52/Marnie.png,https://stardewvalleywiki.com/Marnie
Pam,https://stardewvalleywiki.com/mediawiki/images/d/da/Pam.png,https://stardewvalleywiki.com/Pam
Pierre,https://stardewvalleywiki.com/mediawiki/images/7/7e/Pierre.png,https://stardewvalleywiki.com/Pierre
Robin,https://stardewvalleywiki.com/mediawiki/images/1/1b/Robin.png,https://stardewvalleywiki.com/Robin
Sandy,https://stardewvalleywiki.com/mediawiki/images/4/4e/Sandy.png,https://stardewvalleywiki.com/Sandy
Vincent,https://stardewvalleywiki.com/mediawiki/images/f/f1/Vincent.png,https://stardewvalleywiki.com/Vincent
Willy,https://stardewvalleywiki.com/mediawiki/images/8/82/Willy.png,https://stardewvalleywiki.com/Willy
Wizard,https://stardewvalleywiki.com/mediawiki/images/c/c7/Wizard.png,https://stardewvalleywiki.com/Wizard
Birdie,https://stardewvalleywiki.com/mediawiki/images/4/46/Birdie.png,https://stardewvalleywiki.com/Birdie
Bouncer,https://stardewvalleywiki.com/mediawiki/images/f/f5/Bouncer.png,https://stardewvalleywiki.com/Bouncer
Fizz,https://stardewvalleywiki.com/mediawiki/images/a/a3/Fizz_00.png,https://stardewvalleywiki.com/Fizz
Gil,https://stardewvalleywiki.com/mediawiki/images/6/64/Gil.png,https://stardewvalleywiki.com/Gil
Governor,https://stardewvalleywiki.com/mediawiki/images/4/46/Governor.png,https://stardewvalleywiki.com/Governor
Grandpa,https://stardewvalleywiki.com/mediawiki/images/8/88/Grandpa.png,https://stardewvalleywiki.com/Grandpa
Gunther,https://stardewvalleywiki.com/mediawiki/images/3/3d/Gunther.png,https://stardewvalleywiki.com/Gunther
Henchman,https://stardewvalleywiki.com/mediawiki/images/2/21/Henchman_Portrait_1.png,https://stardewvalleywiki.com/Henchman
Marlon,https://stardewvalleywiki.com/mediawiki/images/3/37/Marlon.png,https://stardewvalleywiki.com/Marlon
Morris,https://stardewvalleywiki.com/mediawiki/images/9/90/Morris.png,https://stardewvalleywiki.com/Morris
Mr. Qi,https://stardewvalleywiki.com/mediawiki/images/b/b4/Mr._Qi.png,https://stardewvalleywiki.com/Mr._Qi
Professor Snail,https://stardewvalleywiki.com/mediawiki/images/d/d4/Professor_Snail.png,https://stardewvalleywiki.com/Professor_Snail
